,Project Type,Project Size (sqft),Budget (INR),Number of Workers,Subcontractors Involved,Number of Tasks,Task Completion Percentage,Number of Delays,Weather Conditions,Material Availability,Permits/Regulatory Approvals,Change Orders,Site Location,Project Complexity (1-10),Project Manager Experience (years),Contract Type,Risk Factors,Previous Similar Project Performance (days)
0,Commercial,21917,57330673,55,3,21,74,0,Moderate,No,3,1,Hyderabad,8,17,Time and materials,Medium,693
1,Infrastructure,16715,37783343,6,5,15,2,4,Favorable,No,3,4,Pune,10,9,Time and materials,Low,429
2,Industrial,16920,21470025,86,10,36,90,1,Favorable,No,3,10,Delhi,9,12,Time and materials,Low,446
3,Educational,726,44121638,98,9,12,47,0,Favorable,Yes,4,6,Pune,1,7,Fixed price,High,281
4,Educational,32553,57586230,26,4,23,3,1,Favorable,No,4,10,Banglore,4,9,Fixed price,Low,497
5,Industrial,13579,78588135,30,7,28,78,0,Favorable,Yes,5,4,Banglore,1,18,Time and materials,Low,334
6,Educational,47489,46760623,19,4,49,70,1,Favorable,No,4,1,Chennai,8,20,Fixed price,Medium,682
7,Commercial,40405,36903626,46,7,28,32,2,Favorable,Yes,5,5,Kolkata,9,13,Time and materials,High,666
8,Commercial,20398,9748184,29,6,50,26,3,Favorable,No,2,0,Hyderabad,3,2,Fixed price,High,229
9,Commercial,47985,45270109,87,7,26,60,2,Moderate,Yes,1,10,Chennai,1,6,Time and materials,Low,406
10,Infrastructure,22340,34619300,63,6,32,97,2,Adverse,No,4,10,Mumbai,6,20,Time and materials,Medium,785
11,Industrial,37689,77685759,90,1,21,22,0,Moderate,No,4,1,Banglore,8,11,Time and materials,High,135
12,Residential,37854,72566817,67,3,47,38,1,Adverse,No,2,4,Mumbai,4,12,Fixed price,Low,238
13,Educational,48537,35279648,32,10,48,84,3,Favorable,No,2,3,Kolkata,9,1,Time and materials,High,623
14,Educational,44171,77431530,95,7,50,85,4,Favorable,Yes,3,10,Hyderabad,7,19,Time and materials,Low,336
15,Industrial,9001,64879357,82,4,31,58,5,Moderate,No,5,8,Delhi,4,12,Fixed price,Low,299
